Product Name,Generic Name,Company,Category,Strength,Pack Size,MRP,Selling Price,Stock,Batch Number,Expiry Date,Image URL
Avit,Vitamin A,"Square Pharmaceuticals PLC, Pabna",Tablet,50000 IU,,,,,,,
Rozy,Drospirenone + Estradiol,"Square Pharmaceuticals PLC, Pabna",Tablet,250 mcg + 500 mcg,,,,,,,
Ace,Caffeine + Paracetamol,"Square Pharmaceuticals PLC, Pabna",Tablet,65 mg + 500 mg,,,,,,,
Nobloat-Vet Suspension,Simethicone,"Square Pharmaceuticals PLC, Pabna",Suspension,1 gm/100 ml,,,,,,,
Amistar 250 IM/IV,Amikacin,"Square Pharmaceuticals PLC, Pabna",Injection,250 mg/2 ml,,,,,,,
Flacol,Simethicone,"Square Pharmaceuticals PLC, Pabna",Chewable Tablet,40 mg,,,,,,,
Anzitor,Atorvastatin,"Square Pharmaceuticals PLC, Pabna",Tablet,40 mg,,,,,,,
Carditab,Propranolol Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,40 mg,,,,,,,
Filwel,Ascorbic Acid + Biotin + Boron + Calcium Carbonate + Chromium + Copper + Cyanocobalamin + Diabasic Calcium Phosphate + Elemental Iron + Folic Acid + Iodine + Lutein + Magnesium + Manganese + Molybdenum + Niacin + Nickel + Pantothenic acid + Potassium Chloride + Pyridoxine Hydrochloride + Riboflavin + Selenium + Silicon + Tin + Vanadium + Vitamin,"Square Pharmaceuticals PLC, Pabna",Tablet,B1 + Vitamin D + Vitamin E + Vitamin K + Zinc  60 mg + 30 mcg + 150 mcg + 52.49 mg + 120 mcg + 2 mg + 6 mcg + 478.695 mg + 18 mg + 400 mcg + 150 mcg + 250 mcg + 100 mg + 2 mg + 75 mcg + 20 mg + 5 mcg + 10 mg + 152.52 mg + 2 mg + 1.7 mg + 20 mcg + 2 mg + 10 mcg + 10 mcg + 1.5 mg + 400 IU + 30 IU + 25 mcg + 15 mg,,,,,,,
Lysivin,Folic Acid + L-Lysine + Nicotinamide + Vitamin A + Vitamin,"Square Pharmaceuticals PLC, Pabna",Tablet,B1 + Vitamin B12 + Vitamin B2 + Vitamin B6 + Vitamin C + Vitamin D3 + Vitamin E  250 mcg + 50 mg + 2.5 mg + 1500 IU + 250 mcg + 2 mcg + 250 mcg + 250 mcg + 50 mg + 100 IU + 10 IU,,,,,,,
Zimax,Azithromycin,"Square Pharmaceuticals PLC, Pabna",Powder For Suspension,200 mg/5 ml,,,,,,,
Phylopen,Flucloxacillin,"Square Pharmaceuticals PLC, Pabna",Injection,250 mg/vial,,,,,,,
Becospary,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Nasal Spray,1 mcg/Spray,,,,,,,
Trispray,Triamcinolone Acetonide,"Square Pharmaceuticals PLC, Pabna",Nasal Spray,55 mcg/Metered Inhalation,,,,,,,
Clofenac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Emulgel,1 gm/100 gm,,,,,,,
Lansoprazole,Lansoprazole,"Square Pharmaceuticals PLC, Pabna",Pellets,85 gm/ KG,,,,,,,
Clofenac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Gel,1 gm/100 gm,,,,,,,
Locular,Brimonidine Tartrate,"Square Pharmaceuticals PLC, Pabna",Eye Drops,0.20%,,,,,,,
Nicotop Gel,Nicotinamide,"Square Pharmaceuticals PLC, Pabna",Gel,4 gm/100 gm,,,,,,,
Carditab,Propranolol Hydrochloride,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Anzitor,Atorvastatin,"Square Pharmaceuticals PLC, Pabna",Tablet,10 mg,,,,,,,
Deprex,Olanzapine,"Square Pharmaceuticals PLC, Pabna",Tablet,5 mg,,,,,,,
